Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2714-2853	3	27	17	0	440	2	164328
rev2714-2956	12	585	550	0	458	4	170112
rev2714-3196	53	7304	7748	0	476	33	181590
rev2714-3419	54	7635	7930	0	479	34	184315
rev3136-3275	4	201	142	0	476	2	172832
rev3136-3458	4	175	157	0	494	2	183622
rev3136-3555	11	3063	3130	0	499	6	188727
rev3136-3650	41	4581	4321	0	511	9	196394
