Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2714-2853	3	116	17	0	440	2	161816
rev2714-2956	19	608	490	1	458	4	167526
rev2714-3196	63	2127	2376	2	476	24	173921
rev2714-3419	65	2212	2402	3	479	25	176487
rev3136-3275	2	54	52	0	476	2	170120
rev3136-3458	3	68	67	0	494	2	180876
rev3136-3555	28	1167	1212	0	499	6	184450
rev3136-3650	105	2936	2723	77	511	8	192527
