Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2415-2547	8	10	84	0	157	1	33913
rev2415-2601	9	19	86	1	160	2	36317
rev2415-2698	19	64	126	2	164	6	38295
rev2415-2775	26	105	200	3	172	9	39315
rev2415-2874	36	270	400	3	177	12	40254
rev2415-2881	36	269	423	3	177	12	40277
