Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4657-4714	9	113	143	0	1032	8	76207
rev4657-4902	21	398	471	0	1034	14	77040
rev4657-5050	75	1782	1894	0	1079	38	82947
rev5315-5419	32	1112	1117	0	1245	13	97756
rev6234-6868	34	509	529	0	1467	18	137769
rev6234-6870	45	620	658	0	1467	23	138033
rev6984-7213	1	5	1	0	1598	1	145761
rev6984-7321	2	189	183	0	1606	2	146582
rev6984-7492	15	242	230	0	1624	6	148235
