Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev4657-4714	4	35	28	0	1013	4	71867
rev4657-4902	10	132	117	0	1013	7	72062
rev4657-5050	54	614	536	1	1013	23	70434
rev5315-5419	32	122	131	39	1013	11	64655
rev6234-6868	15	147	193	1	1013	10	85880
rev6234-6870	19	198	196	1	1093	13	91645
rev6984-7213	0	0	0	0	1598	0	141329
rev6984-7321	0	0	0	0	1013	0	85978
rev6984-7492	10	32	30	0	1013	4	85805
