Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev6386-6479	8	64	60	0	310	3	62241
rev6386-6496	12	76	76	0	310	4	62328
rev6386-6553	12	85	74	0	310	6	62516
rev6386-6607	18	281	229	0	310	6	62877
rev6386-6663	50	488	397	0	309	10	63388
rev6386-6682	6	78	59	0	309	3	62989
rev6386-6724	19	299	291	0	310	8	63047
rev6386-6735	6	88	79	0	306	5	62747
rev6386-6799	48	600	439	0	306	12	63480
