Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev6386-6479	7	82	78	0	310	3	61253
rev6386-6496	8	19	113	0	310	4	61359
rev6386-6553	11	173	130	0	310	6	61596
rev6386-6607	13	247	186	1	310	5	61877
rev6386-6663	40	503	466	1	309	6	62457
rev6386-6682	6	78	44	0	309	4	62004
rev6386-6724	15	132	94	0	310	9	61897
rev6386-6735	5	87	53	0	306	5	61757
rev6386-6799	45	424	351	0	306	11	62416
