Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev1386-1611	2	7	50	0	113	1	17869
rev1518-1611	2	49	7	0	115	1	17898
rev1518-1680	21	503	263	0	117	14	18772
rev1518-1744	33	574	211	0	119	14	19100
rev1518-1768	40	740	242	0	120	17	19060
rev1518-1801	46	902	275	0	122	19	19063

