Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev1386-1611	3	9	79	0	113	1	17936
rev1518-1611	3	78	9	0	115	1	17935
rev1518-1680	18	1600	854	0	117	13	19581
rev1518-1744	35	2379	858	0	119	16	20573
rev1518-1768	38	2437	869	0	120	18	20391
rev1518-1801	46	2769	935	0	122	20	20524

