Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev295-327	39	1288	267	0	418	12	111412
rev295-365	48	208	4263	0	422	11	116811
rev295-417	84	778	4341	0	423	12	118323
rev295-501	89	840	4358	0	426	12	121802
