Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev295-327	32	300	347	4	418	10	110713
rev295-365	52	115	1154	27	422	7	113531
rev295-417	60	97	2524	47	423	10	115872
rev295-501	59	125	1248	48	426	7	118041
