Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev519-537	8	386	88	0	41	4	6730
rev519-546	9	482	103	0	47	4	7192
rev519-557	9	457	125	0	62	4	7915
rev519-568	13	2159	181	0	64	5	6893
rev519-578	13	2159	195	0	64	5	7138
