Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev519-537	6	154	0	2	41	3	6745
rev519-546	7	168	0	2	47	3	7124
rev519-557	8	222	0	2	62	3	7932
rev519-568	11	272	0	3	64	4	5426
rev519-578	11	272	0	3	64	4	5672
