Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2895-2929	3	154	0	0	207	1	152846
rev2895-2954	10	280	116	1	208	5	153478
rev2895-2991	18	349	163	1	207	4	153673
rev2895-2993	4	200	1	0	207	1	153308
rev3177-3237	13	169	142	7	232	2	182680
rev3177-3275	63	411	356	10	237	5	184534
rev3177-3296	64	501	456	9	239	6	186403
