Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2895-2929	3	834	2	0	207	2	151639
rev2895-2954	11	1836	995	0	208	7	152993
rev2895-2991	16	1970	1071	0	207	7	153219
rev2895-2993	6	1410	533	0	207	4	152655
rev3177-3237	4	4551	2744	0	232	3	183203
rev3177-3275	75	4818	4665	0	237	9	185922
rev3177-3296	86	6471	4783	0	239	9	188121
