Revisions	Syntactic Conflicts	Confilicting Lines 1	Conflicting Lines 2	Semantic Conflicts	Number of Lines	Number of Files	Number of Lines total
rev2283-2337	1	7	0	0	677	1	122975
rev2283-2366	0	0	0	1	678	0	122944
rev2283-2409	7	32	50	1	680	3	123518
rev2669-2722	11	145	12	2	685	7	123394
rev2735-2828	3	2	16	6	688	3	122173
rev2735-2877	7	16	36	6	697	6	121930
rev3426-3457	0	0	0	0	659	0	126661
rev3426-3500	1	2	1	0	660	1	127075
rev3426-3513	0	0	0	0	660	0	127067
